Feature,Importance
EK_IP,0.3535580024405048
Skew_IP,0.20446697517930454
Mean_IP,0.18027503058873853
SD_DM,0.06751167845244331
Mean_DM,0.0633051584998654
SD_IP,0.052138136788536675
Skew_DM,0.04225362576691541
EK_DM,0.036491392283691394
